estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
1939,325,8,"(2,)","(64,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1940,325,8,"(2,)","(128,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1941,325,8,"(2,)","(256,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1942,325,8,"(2,)","(512,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1943,325,16,"(2,)","(8,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1944,325,16,"(2,)","(16,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1945,325,16,"(2,)","(32,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1946,325,16,"(2,)","(64,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1947,325,16,"(2,)","(128,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1948,325,16,"(2,)","(256,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1949,325,16,"(2,)","(512,)",1,0.010206582365591398,0.9797598884531779,"Launch_Tax, Trip_Count, Latencies"
1950,325,32,"(2,)","(8,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1951,325,32,"(2,)","(16,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1952,325,32,"(2,)","(32,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1953,325,32,"(2,)","(64,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1954,325,32,"(2,)","(128,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1955,325,32,"(2,)","(256,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1956,325,32,"(2,)","(512,)",1,0.010207831397849462,0.9796400048404751,"Launch_Tax, Trip_Count, Latencies"
1957,325,8,"(2,)","(8,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
1958,325,8,"(2,)","(16,)",1,0.010205957849462367,0.9798198412632857,"Launch_Tax, Trip_Count, Latencies"
