estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
118,359,32,"(100000,)","(64,)",3125,0.03485096989362963,390.80691417112007,Compute
119,359,32,"(100000, 816)","(1, 64)",2600000,0.035614379830086515,382.4297956325502,Compute
120,359,32,"(100000,)","(128,)",3125,0.03485096989362963,390.80691417112007,Compute
121,359,32,"(100000, 816)","(1, 128)",2600000,0.035614379830086515,382.4297956325502,Compute
122,359,32,"(100000,)","(256,)",3125,0.03485096989362963,390.80691417112007,Compute
123,359,32,"(100000, 816)","(1, 256)",2600000,0.035614379830086515,382.4297956325502,Compute
124,359,32,"(100000,)","(512,)",3125,0.03485096989362963,390.80691417112007,Compute
125,359,32,"(100000, 816)","(1, 512)",2600000,0.035614379830086515,382.4297956325502,Compute
126,359,32,"(100000, 816)","(2, 4)",10200000,0.1325915592101047,102.72147096798024,Compute
127,359,32,"(100000, 816)","(2, 8)",5100000,0.06998944702248662,194.60076596439018,Compute
128,359,32,"(100000, 816)","(2, 16)",2550000,0.03499751165939147,389.17052539491397,Compute
129,359,32,"(100000, 816)","(2, 32)",2550000,0.03499751165939147,389.17052539491397,Compute
130,359,32,"(100000, 816)","(2, 64)",2550000,0.03499751165939147,389.17052539491397,Compute
131,359,32,"(100000, 816)","(2, 128)",2550000,0.03499751165939147,389.17052539491397,Compute
132,359,32,"(100000, 816)","(2, 256)",2550000,0.03499751165939147,389.17052539491397,Compute
133,359,32,"(100000, 816)","(4, 2)",10200000,0.1325915592101047,102.72147096798024,Compute
134,359,32,"(100000, 816)","(4, 4)",5100000,0.06998944702248662,194.60076596439018,Compute
135,359,32,"(100000, 816)","(4, 8)",2550000,0.03499751165939147,389.17052539491397,Compute
136,359,32,"(100000, 816)","(4, 16)",2550000,0.03499751165939147,389.17052539491397,Compute
137,359,32,"(100000, 816)","(4, 32)",2550000,0.03499751165939147,389.17052539491397,Compute
138,359,32,"(100000, 816)","(4, 64)",2550000,0.03499751165939147,389.17052539491397,Compute
139,359,32,"(100000, 816)","(4, 128)",2550000,0.03499751165939147,389.17052539491397,Compute
140,359,32,"(100000, 816)","(8, 1)",10200000,0.1325915592101047,102.72147096798024,Compute
141,359,32,"(100000, 816)","(8, 2)",5100000,0.06998944702248662,194.60076596439018,Compute
142,359,32,"(100000, 816)","(8, 4)",2550000,0.03499751165939147,389.17052539491397,Compute
143,359,32,"(100000, 816)","(8, 8)",2550000,0.03499751165939147,389.17052539491397,Compute
144,359,32,"(100000, 816)","(8, 16)",2550000,0.03499751165939147,389.17052539491397,Compute
145,359,32,"(100000, 816)","(8, 32)",2550000,0.03499751165939147,389.17052539491397,Compute
146,359,32,"(100000, 816)","(8, 64)",2550000,0.03499751165939147,389.17052539491397,Compute
147,359,32,"(100000, 816)","(16, 1)",5100000,0.06998944702248662,194.60076596439018,Compute
148,359,32,"(100000, 816)","(16, 2)",2550000,0.03499751165939147,389.17052539491397,Compute
149,359,32,"(100000, 816)","(16, 4)",2550000,0.03499751165939147,389.17052539491397,Compute
150,359,32,"(100000, 816)","(16, 8)",2550000,0.03499751165939147,389.17052539491397,Compute
151,359,32,"(100000, 816)","(16, 16)",2550000,0.03499751165939147,389.17052539491397,Compute
152,359,32,"(100000, 816)","(16, 32)",2550000,0.03499751165939147,389.17052539491397,Compute
153,359,32,"(100000, 816)","(32, 1)",2550000,0.03499751165939147,389.17052539491397,Compute
154,359,32,"(100000, 816)","(32, 2)",2550000,0.03499751165939147,389.17052539491397,Compute
